SAR_Name,Avg_aspect,Avg_slope,STD_aspect,STD_slope,Shrub_Coverage,Tussocks
TL_SAR_41,23.57201589,4.278724194,17.75150427,1.167421579,None,no
TL_SAR_4,137.0748206,3.77526927,18.69150816,1.065388203,None,no
TL_SAR_7,155.2713871,6.375449657,15.73440876,1.68562448,Many,no
TL_SAR_8,141.9665611,3.206067085,28.58900081,1.293821454,None,no
KG_SAR_2,53.60134727,4.820270061,11.16255782,0.927505672,None,yes
KG_SAR_5,293.4090024,10.8621664,12.53554505,1.832582831,Many,yes
KG_SAR_6,86.44691078,3.876817226,13.67144669,0.467416108,None,yes
CN_SAR_1,116.4150146,0.992227852,104.8906242,0.674306333,None,no
CN_SAR_2,94.54817766,0.809480429,38.37687464,0.364429027,None,no
BW_SAR_HC,99.22497894,0.662643492,93.00541305,0.334771574,None,no
BW_SAR_FC,54.03020801,0.177374139,119.0630786,0.16547966,None,no
BW_SAR_LC,318.8223195,0.185582161,73.33308447,0.14869836,None,no
